review;others
5;
3;
3;
3;
3;
5;
5;
3;
3;
3;
3;As fotos pareciam ok. Mas ocultaram o estado deplorável do piso do imóvel.
5;
5;
5;
5;
4;esperava um pouco maior, mas gostei do apartamento
5;
4;uma cama de solteiro. queria 2 casal
5;
1;estava com odor horrível e tinha várias coisas pessoais, e tinha móvel quebrado
3;
5;
4;
2;
4;
5;
5;
5;
3;
4;Tem alguns móveis deixados que não me interessam e a decoração com papéis de parede também não me agradou.
5;estao construindo um predio ao lado do imovel q fica no segundo andar
3;
5;
2;
3;
5;
5;
4;Imóvel pouco versátil para mudanças já que possui painel da cama + escrivaninha colado na parede
3;
5;
5;
5;
5;
3;
4;
5;
5;
5;
5;
4;
3;
5;na verdade a visita � este imóvel em especifico não aconteceu por causa da falta da lockbox. Mas o Paulo me mostrou outros imóveis na região pra compensar :)
4;
5;
5;
5;
2;vaga livre com chance de deixar chave com porteiro
5;
5;
4;
2;N/a
5;
4;
4;o imóvel não possui 2 quartos, somente um
5;
2;
3;gostaria de quarto separado
4;
4;
2;Muito pequeno
5;
5;
5;
1;péssimo, não condiz com o anúncio e com o preço.
3;Pouco conservado
4;
2;b
2;A qualidade do imóvel ta ruim.
2;
2;
1;Fortíssimo cheiro de cigarro
5;
4;
5;
5;
4;vaga presa e descoberta
5;
5;
5;
5;
4;Muito barulho
5;
4;
4;
5;
4;
3;
5;
5;
5;
2;mal dividido
5;
4;cama está velhinha
5;
3;parte se um dos moveis quebrados por dentro.. sofá com cheiro de mofo. não tinha televisão igual ao anúncio
4;
4;
4;desatualizado as fotos
4;
3;não há local para colocar a geladeira na cozinha, área de serviço fria sempre com sombra, pisos da sala não estão bem conservados.
3;O imóvel estava em reforma, um pouco sujo
1;
2;
4;sem elevador no prédio
4;
3;não gostei
5;
5;
5;
4;
5;
4;valor :(
4;
3;
5;
4;
4;
5;
5;
5;
5;
3;
2;
3;
4;Muito barulhento
5;
5;
4;piso está em mas condições, Mas não dava ora ver pelas fotos
5;
3;
5;Apartamento impecável, prédio conservado e sem barulho, alto em relação � rua, apesar da localização em via de bastante movimento. Parte elétrica em dia, o quarto reversível é um plus.
5;
3;
4;imóvel perfeito, mas localização ruim
4;
3;muito barulho
5;
4;falta vaga de garagem e necessaria adaptacao do quarto closet pra quarto normal mas esta em mto bom estado de conservacao
4;
3;falta garagem
5;
4;
1;
5;
3;nao faltou nenhuma informação, preciso fe um imóvel um pouco maior.obrigada
4;
4;
5;
5;
4;pouca acessibilidade para idoso.
5;
5;
5;
5;
5;
4;O apartamento é muito mal distribuído. A cozinha tem uma porta sem uma parede .
4;O apartamento é muito mal distribuído. A cozinha tem uma porta sem uma parede .
5;
3;modificações na planta que atrapalham
4;
3;
5;
5;
5;
5;
3;
5;
3;
4;
3;
5;
5;
5;
5;
5;
4;
5;
5;
4;A garagem muito pequena. Não comportava um carro médio.
4;cheiro de cigarro
3;
5;
4;Não tem estacionamento.
4;
5;
4;
4;não me identifiquei
5;
4;
4;
3;
5;
3;Ambiente com cheiro de mofo
3;
4;
5;
5;
5;
5;
5;
4;
4;
5;
3;
5;
4;
4;
4;
4;
3;
5;
3;
3;
5;
3;
4;
5;
3;
5;
4;
3;
5;
5;
4;........ Trz
5;
5;
4;
5;
5;
5;
5;
5;
5;
2;
5;
5;
5;
5;
5;
3;somente um banheiro, pequeno
4;
4;não gostei do banheiro
3;
5;
3;
5;
5;
5;
4;n tem porteiro
2;
3;
3;xxc
1;
3;
5;
1;
3;Prédio estranho
5;
5;
5;
5;
3;
3;2 quartos têm medidas muito distintas entre eles
3;
1;
4;
3;
5;
4;
3;
5;
5;
5;
3;
3;
5;
5;
5;
5;
5;
4;Um dos quartos era revercível, precisava de dois quartos normais
5;
5;
5;
5;
5;
5;
5;
5;
5;
2;
5;
4;
4;...... Rjr did
5;
3;a
4;
5;
4;
3;
4;
5;
5;
5;
2;
5;otimo
2;prédio em péssimas condições
2;Não gostei do prédio.
5;
4;
4;
2;Ventilação insuficiente.
4;
4;só falta um espaço pra máquina de lavar. de resto tudo ok. Também não testei o fogão e geladeira para saber se realmente funcionam pois são os atrativos do apartamento.
2;Muito abafado
5;
5;
5;
5;
1;mobiliado nas fotos
5;
5;
3;Rota de avião, o barulho vai se tornar um problema para mim após um período.
3;muito pequeno
3;prédio aparentemente em mau estado
5;
3;
5;
4;
5;
2;tive a impressão que o valor do aluguel foi atualizado, ou eu pesquisei errado. 
;
2;tive a impressão que o valor do aluguel foi atualizado, ou eu pesquisei errado. 
;
5;
5;
3;
5;
2;
2;
3;
5;
5;
5;
5;
4;armários muito desgastado. piso em um estado ruim
3;apartamento escuro, pequeno e mal conservado.
5;
5;
5;
4;preço acima da média
4;mobilia antiquada
3;as fotos estavam bastante mentirosaa em relação ao tamanho.
5;
5;
2;
3;
5;não gostei
3;
5;
5;
5;
2;
3;
2;Mal arquitetado
3;barulho da avenida
3;
5;
5;
5;
5;
2;
5;
4;
5;faltou uma suite
5;otima
3;
5;
4;
5;
5;
5;
5;
3;
5;
5;
5;
5;
1;o imóvel estava muito sujo sem agua e luz
2;
5;
4;
2;
5;
5;
4;
2;
5;
4;. shsjansh jsayagaj
5;
3;
5;
4;
3;Apartamento muito mal conservado. Existem apartamentos reformados na região pelo mesmo valor.
2;
5;
5;
4;imóvel muito bom, mas entrada não é ideal
5;
5;
5;
5;
4;Janelas voltadas para outro prédio
5;
4;
3;O apartamento está mofado.
5;
4;
3;
3;
5;
2;
5;
5;
5;
5;
5;
5;
2;
4;
4;
3;
2;pequeno pras minhas necessidades.
3;
3;
3;
5;tudo
5;
4;
5;
3;não tem vaga
5;
5;
5;
5;
4;
5;
4;moveis chumbados na sala
5;
4;moveis chumbados na sala
5;
3;
5;
5;
4;
4;
5;
5;
4;
1;
1;
2;
5;
2;
2;
2;
5;
4;
5;um dos melhores que visitamos
5;
3;
5;
3;
5;
5;
5;
4;
5;
5;
3;
2;
4;fica bastante longe das duas estações de metrô mais perto
5;
5;
5;
5;
5;
5;
2;
3;Não sabia que era em um hotel! Não sei se deixei passar ou se não estava no anúncio. Não sabia que haveria essa possibilidade
5;
5;
4;preço alto
5;
4;
4;
4;
5;
5;
5;
5;
5;
3;
3;a rua aparenta ser barulhenta
5;
4;
5;
3;
3;
5;
5;
5;
2;
4;deveria haver mais informação quanto � vaga
3;
3;
4;
5;
3;muito pewuenopequeno
5;
5;
5;
5;
4;
5;
5;
3;nas fotos ele esta todo mobiliado, o que entende-se que ele estaria assim, mas esta todo vazio. Precisa mudar as fotos.
2;
3;não tinha espaço pra máquina de lavar no banheiro
5;
5;
4;
3;
5;
5;
4;
5;
5;
5;
4;
5;
4;
4;o imovel era bem conforme a foto. na verdade melhor conservado mas a estrutura do prédio e ruim é a rua muito suja.... não gostei do imóvel mas apreciei o atendimento do quinto andar
5;
5;
3;
3;Nas fotos o imóvel está mobilhado então não dá pra saber o que é ou não é do imóvel
3;acho que na verdade me apaixonei pela forma que estava nas fotos rs
5;
3;Pelas fotos o imóvel parecia ser maior, bem como os móveis da sala estão bem antigos.
4;
5;
4;
4;
3;
3;
2;
5;
5;
2;
2;
4;apto sujo. itens de linha branca todos bem surrados. alguém está dormindo no apto. cheiro de cigarro.
2;Ficamos presos no elevador.
1;as fotos nao retratam o ap e ocultam partes importantes do mesmo . muito diferente. perdemos tempo na visita
1;moradoresnao gentis
5;
2;
5;
5;
5;
5;
4;
5;
5;
5;
2;
3;
5;
3;
3;preciso mais espaço
5;
5;
5;
5;
5;
5;
5;
2;
5;
4;
5;
2;
4;
5;
4;
4;
3;Barulho e tamanho
5;
1;imóvel em péssimo estado e com vazamentos.
4;O apartamento e muito barulhento por causa da avenida 9 de Julho.
1;
5;
5;
3;
5;
5;
5;
3;Não tinha área de serviço e fotoa deixavam isso em dúvida
5;
5;
5;
3;
3;não gostei da distribuição e nem da vaga de garagem que é presa
5;
4;
5;
4;
5;
4;A academia não era academia e o playground também não tinha.
5;
4;
4;prédio não tem área de lazer
5;
3;
5;
2;nao mostrou o real estado do chão de toda casa
3;
4;
5;
2;A
2;
1;
1;
3;
3;
4;Barulho a noite dos bares
4;
2;
3;barulho do avião
5;
3;
5;
3;não devia ser anunciado como três quartos, a chave não estava no local como combinado e muitos objetos pessoais estavam no apto, dificultando a visualização dos espaços.
5;
5;
4;
5;
3;
3;não tinha gas encanado
5;
5;
3;
5;
4;
4;
